S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,Target
-0.147554148,0.229681861,0.112097197,0.542335078,0.595349886,-0.113922613,2.152311584,1.230516537,0.65845806,1.622664799,0.270802647,0.450244907,-0.145499323,0.192980426,0.078703449,0.816741716,0.756744054,0.444439077,1.259193268,-0.210656977,-0.833308793,0.038850714,0.471098228,0.269534114,0.37141548,0.270556146,-0.402615377,0.385558036,0.463779567,-0.268451115,0.600423993,1.058577744,0.38179142,0.071709688,-0.093036138,-0.781642155,1.109599135,-0.015166873,-1.415042278,-0.510903686,-0.249653162,-0.209057939,-1.83973172,0.917674423,0.008538223,0.579809012,0.716465104,-0.037588155,0.406443438,0.179573367,-0.349777601,0.081970378,-0.12244191,-0.497862612,0.49697533,0.030236863,0.012858532,0.515168671,0.083965248,0.003033547,0
-0.165666222,0.262149378,0.091983154,0.478229565,0.603188388,-0.223212689,2.013569921,1.181574015,0.70749837,1.545399282,0.266068665,0.408066743,-0.261311794,0.234408889,0.028750378,0.811938302,0.783313683,0.391314561,1.234948524,-0.168157225,-0.783016776,0.037439286,0.453983455,0.259742069,0.374435553,0.263058277,-0.443551359,0.466566582,0.50621566,-0.223566569,0.611826439,1.066310528,0.290591155,0.066581626,-0.103784327,-0.828175107,1.152240325,-0.035202598,-1.212261453,-0.579129993,-0.198602586,-0.283809891,-1.722437476,0.953967345,-0.045257087,0.611977676,0.711880779,0.030633823,0.392196536,0.188619347,-0.363020006,0.085597801,-0.097517013,-0.404474323,0.571975035,0.068495341,0.04346269,0.467843342,0.030507621,0.058779979,0
-0.025747422,0.300719,0.103000261,0.401315661,0.586993378,-0.170364364,1.993874201,1.099723495,0.760682269,1.420312153,0.260118036,0.421314687,-0.364742711,0.317624968,0.082502906,0.803633192,0.775039341,0.31049418,1.193343777,-0.222131587,-0.885449576,0.014550529,0.542442408,0.243578074,0.442298679,0.289097088,-0.462665978,0.55779769,0.538686417,-0.25015938,0.73844919,1.020003328,0.193246924,0.029649702,-0.110912749,-0.831995454,1.163317293,-0.053645443,-1.36543796,-0.662275153,-0.169469638,-0.347058973,-1.621370147,0.960829616,-0.021988204,0.684972197,0.753173067,-0.143044315,0.407985377,0.169657057,-0.30364805,0.104099482,-0.09304274,-0.380278396,0.534827208,0.113714393,-0.013209426,0.435984741,0.050866738,0.004214419,0
0.060607393,0.342636946,0.137239191,0.341324154,0.58383295,-0.091083563,1.988193201,1.027528617,0.771647163,1.373991539,0.250668073,0.345459312,-0.46629307,0.418949529,0.214651433,0.855660002,0.792034933,0.283644282,1.095784234,-0.214061653,-0.882691229,-0.004142845,0.565498597,0.292250729,0.496094647,0.320513001,-0.397950495,0.732097952,0.57603246,-0.249548096,0.782324528,1.026821968,0.187344187,0.064902064,-0.15113931,-0.836777906,1.161091154,-0.002762881,-1.522688114,-0.675842007,-0.188484054,-0.336007466,-1.614690233,0.954936295,-0.003024622,0.737590451,0.776671979,-0.103279492,0.31545865,0.23615254,-0.369312313,0.070010617,-0.060521216,-0.355777912,0.598924029,0.184726313,0.077938996,0.471565884,0.057402508,0.055761017,0
0.030013576,0.40010055,0.148739021,0.277069068,0.574111401,-0.062312825,1.988285761,0.904420962,0.779606726,1.21251777,0.258441806,0.329973222,-0.511415786,0.459737317,0.354189657,0.840071491,0.785109206,0.26927478,1.035690936,-0.209917848,-0.836394416,0.00462428,0.574530261,0.312140883,0.472773712,0.285406103,-0.398252012,0.772026677,0.650411506,-0.177259321,0.830598704,1.009028315,0.157663921,0.145450023,-0.157758331,-0.897667749,1.118909269,-0.002662507,-1.467369584,-0.728099989,-0.144787994,-0.363762949,-1.563295214,0.942848951,-0.110557766,0.816225974,0.81781222,-0.021025151,0.344138495,0.264918962,-0.264944527,0.082837346,-0.039924866,-0.347743184,0.648792362,0.229826133,0.080267955,0.493646935,0.045225568,0.090064767,0
0.134884313,0.389457539,0.140740438,0.200883553,0.644804602,-0.084753105,1.88969558,0.88391107,0.889953515,1.187767638,0.249431172,0.479197703,-0.386961681,0.476769835,0.368569257,0.932588087,0.774993523,0.299939011,0.991459412,-0.11724753,-0.692066005,-0.033155453,0.627171691,0.455949371,0.516863847,0.253540677,-0.504595496,0.931724179,0.668446988,-0.181235732,0.954711803,0.995693454,0.155972679,0.200336663,-0.135646323,-0.850297042,1.211468087,-0.053023451,-1.481674021,-0.734675302,-0.110629434,-0.282842612,-1.483406252,0.973210333,-0.084484045,0.85940659,0.85342477,-0.055892193,0.421237277,0.329525567,-0.245712854,0.098360375,-0.015235288,-0.360555215,0.657399623,0.227358583,0.00849877,0.422616002,0.041002934,0.047023739,0
0.240990917,0.47339844,0.216359666,0.192504314,0.66895354,-0.067185507,1.862496773,0.85800918,0.888207038,1.265577384,0.233764089,0.439908401,-0.435182738,0.562209645,0.363483202,0.978286552,0.80327887,0.281041225,1.043841989,-0.122675857,-0.583971184,0.010097111,0.618178606,0.562838038,0.540124882,0.205924167,-0.515846393,0.954185844,0.747701765,-0.145587907,1.031286739,1.001526397,0.228641796,0.274799951,-0.150180601,-0.714958784,1.208815811,-0.035447496,-1.46696961,-0.733993535,-0.062643353,-0.27483767,-1.379129218,0.969858646,-0.107364437,0.96195191,0.920044183,-0.093544683,0.455238284,0.39877648,-0.183329913,0.022947396,0.050055774,-0.294191344,0.713182054,0.269700583,0.018310379,0.470013566,0.074799887,0.038362369,0
0.407749889,0.493945057,0.239639014,0.131651592,0.705115308,-0.034258379,1.776857611,0.84594896,0.944113665,1.264405961,0.269169711,0.342790821,-0.496885532,0.654450494,0.418671661,1.028379747,0.824049225,0.319702985,1.208327058,-0.206447923,-0.437455999,0.028225316,0.62313275,0.519271617,0.531991226,0.23508307,-0.501453062,1.036077931,0.831905393,-0.174033323,1.1211876,1.010446479,0.198537637,0.243700066,-0.128830446,-0.664462247,1.157587026,-0.007502331,-1.480908498,-0.781638302,-0.01330429,-0.247513861,-1.305411925,0.950712932,-0.081406728,0.982956589,0.981479831,-0.020738917,0.420962341,0.443057462,-0.170044832,0.016731579,0.119214403,-0.25221976,0.82094206,0.297269981,0.029755011,0.469395163,0.108411964,-0.087234793,0
0.588345323,0.582787046,0.280473287,0.178060354,0.724635475,0.014049471,1.83002686,0.863422517,0.878724782,1.307897195,0.356083305,0.372256067,-0.494403713,0.74139316,0.555699507,1.111220583,0.923732046,0.402724478,1.276108751,-0.243350509,-0.403398671,0.127106087,0.676043509,0.598867977,0.610840447,0.319961399,-0.399187455,1.226322884,0.956908794,-0.059135061,1.295203223,1.053124167,0.150151414,0.352917503,-0.140498382,-0.660758008,1.262580504,0.005745056,-1.480737078,-0.70749348,0.006465091,-0.247492054,-1.260463948,1.03094225,-0.111751323,1.094310946,1.020578104,-0.019286837,0.460163262,0.473508596,-0.130943556,0.049089405,0.186869657,-0.219846209,0.730435339,0.433784516,0.217507683,0.576002356,0.213461972,0.0064089,0
0.639024557,0.640934115,0.313879252,0.181372533,0.78326502,0.03841081,1.862692191,0.878412785,0.927596461,1.37557676,0.390980851,0.418373158,-0.521854164,0.877941547,0.76120836,1.169343835,0.987859353,0.499907892,1.335204866,-0.218363249,-0.321130119,0.205642625,0.787651594,0.730502694,0.716667236,0.376022704,-0.345111928,1.35073228,1.031709978,0.025187213,1.389574741,1.086658706,0.11917932,0.407565295,-0.089796889,-0.667892577,1.270137316,0.056825087,-1.536999696,-0.703415296,0.036937313,-0.180546553,-1.251001418,1.074930607,-0.158393076,1.107434805,1.071902813,0.109374483,0.387690036,0.555960166,-0.012908958,0.120289439,0.274472642,-0.112926241,0.818942469,0.487051422,0.288521518,0.626659065,0.265583429,0.125121608,0
0.745582329,0.756679565,0.371816655,0.177749031,0.868987867,0.072232758,1.912789686,0.858307564,0.985629367,1.35997603,0.38767556,0.42050025,-0.567769587,0.987904484,0.804915595,1.258152991,1.057831088,0.591037775,1.316669367,-0.120514652,-0.247249311,0.319949772,0.837997677,0.836307131,0.791748214,0.406562908,-0.30108859,1.460189629,1.15374807,0.115095977,1.498336545,1.143756881,0.15995876,0.460876495,-0.071613557,-0.593999654,1.374761349,0.066340694,-1.457774104,-0.639435111,0.054458804,-0.224988436,-1.185117779,1.11080853,-0.084520879,1.169518041,1.216832941,0.248494806,0.390256472,0.615384612,-0.035751425,0.173008644,0.311210556,0.069709973,0.871993689,0.581884245,0.468179882,0.708340215,0.332309481,0.192409381,0
0.783081503,0.807519295,0.426066161,0.206116242,0.888150314,0.080356956,1.843753071,0.885707014,0.938014829,1.29718419,0.427767092,0.456849852,-0.467381725,0.977144582,0.817739167,1.251801864,1.076518663,0.568960164,1.328735877,-0.049532302,-0.176203942,0.349731123,0.833732247,0.795773597,0.78805175,0.432845031,-0.225846933,1.493011403,1.162198895,0.099355203,1.447592413,1.118098907,0.18366527,0.429601264,-0.054782807,-0.524888819,1.441374129,0.083003567,-1.427822564,-0.574450458,0.111330896,-0.168978108,-1.040878581,1.145265281,-0.142537675,1.219990861,1.199605997,0.209014422,0.492490561,0.606525019,-3.52E-05,0.234969891,0.318289812,0.166017282,0.871139622,0.607899661,0.503463626,0.71469763,0.346676656,0.156355624,0
0.862908741,0.795902051,0.456266414,0.261285518,0.899420846,0.135241273,1.78161434,0.877749384,0.943899673,1.305483916,0.490629984,0.454846626,-0.398178284,1.0102498,0.818035389,1.246028273,1.074638587,0.571347548,1.34485064,-0.004584536,-0.056566217,0.457716406,0.851998939,0.85035156,0.786063855,0.445624681,-0.174791825,1.466085433,1.17648937,0.135977242,1.45434028,1.093913694,0.213841324,0.487950571,-0.025401266,-0.460119611,1.552647815,0.147989503,-1.420663703,-0.521361102,0.152163938,-0.103495522,-0.952561929,1.168732107,-0.16350862,1.224427209,1.199152931,0.23328903,0.489645852,0.617078751,0.138051546,0.270348345,0.358326404,0.17884936,0.876871926,0.656672528,0.559633548,0.726864,0.397883892,0.147222493,0
