S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,Target
3.572115,3.826923,1.908654,0.08163265,3.142857,0.9693878,3.241667,0.325,2.525,0.9461538,0.3,0.4769231,-1.785714,3.904762,1.964286,3.613889,2.913889,3.008333,0.825,2.475,1.7125,3.352041,2.173469,3.642857,2.783333,1.216667,0.8666667,4.363636,4.390909,2.5,4.383333,2.658333,1.241667,1.875,0.4107143,1.366071,4.15,0.31875,0.64375,1.057692,0.5192308,-1.403846,0.5625,2.0625,1.875,2.816327,5.061224,3.938776,0.4583333,2.191667,-0.6416667,1.571429,1.285714,4.914286,2.279221,3.097403,5.233766,2.875,2.102273,1.977273,0
1.777778,2.156085,1.865079,0.9585799,1.39645,0.295858,0.0125,1.6125,-0.325,-0.3684211,1.491228,1.421053,2.195489,0.6917293,1.157895,1.083333,1.572222,-0.01666667,1.64881,1.833333,1.708333,1.139706,0.7205882,-0.2794118,0.69,1.13,1.77,2.363636,1.386364,-0.3181818,0.1015625,0.4375,0.8125,-0.4,0.3916667,1.308333,3.208333,0.525,-0.6333333,1.149321,1.61991,1.316742,2.785185,2.059259,-1.681481,2.558824,0.7426471,-0.8382353,3.204334,0.371517,0.9473684,1.878543,0.5060729,2.720648,0.8484848,1.29798,1.439394,0.8833333,0.7277778,-0.8,0
2.980392,0.4877451,1.257353,1.724696,1.198381,1.591093,0.1333333,0.6666667,1.1,1.525641,2.15812,0.4017094,1.4375,1.888393,0.8258929,1.092879,1.024768,0.6346749,1.772308,1.187692,3.116923,3.322115,1.336538,2.298077,0.7333333,0.7846154,1.179487,0.7518519,1.555556,1.107407,1.633333,0.452381,1.014286,2.035714,0.7539683,1.257937,4.504274,1.871795,-1.230769,0.8868778,1.235294,1.633484,1.39011,1.791209,-0.7197802,1.342105,1.187135,0.877193,0.4141876,0.8970252,3.800915,1.208791,1.42033,0.5192308,1.028926,1.950413,2.049587,1.049587,1.756198,-0.09504132,0
2.596491,0.6988304,0.9415205,-0.2467532,1.52381,1.012987,1.95,1.85625,0.81875,1.631818,1.75,1.977273,1.05,1.414706,2.529412,0.8644689,0.985348,0.5457875,-0.03719008,1.61157,-0.5165289,3.083333,2.461111,3.333333,0.7637363,1.489011,2.263736,3.692857,0.5714286,1.771429,0.8848485,1.757576,-0.9272727,1.533333,0.5897436,0.8307692,0.01818182,1.4,0.7363636,2.711779,1.431078,1.155388,0.7272727,1.608392,1.559441,0.7575758,1.564394,1.784091,0.6956522,1.132723,1.327231,0.3653846,1.206731,3.033654,2.381818,1.269697,2.666667,2.1625,1.65,3.1125,0
1.568182,-0.9409091,0.8181818,2.644231,-2.855769,0.3173077,0.3491124,-2.331361,-0.4378698,4.46875,0.1458333,0.5,4.583333,-5.066667,-0.5,1.875,-1.375,1.25,6.25,2.55,3.325,-1.26,-2.63,-0.43,3.020833,-1.416667,2.302083,-1.704545,-2.136364,0.3068182,0.6851852,-1.796296,2.583333,1.943182,-1.875,0.8181818,2.383333,-4.558333,1.375,0.925,-0.7875,1.2625,0.7428571,-2.242857,5.328571,1.386364,-0.8295455,1.5,3.7125,-2.3875,0.8375,-2.431818,-2.636364,3.761364,-2.75,-4.27381,-1.952381,-0.1022727,-2.784091,2.125,0
2.643519,-2.666667,-1.152778,1.857143,-1.3125,2.379464,0,-0.4358974,3.948718,4.397727,-1.465909,1.375,3.02,-5.25,-0.38,3.272727,-0.979798,2.313131,7.228571,1.914286,5.5,-1.111111,-1.87037,2.601852,1.548718,-2.14359,3.133333,0.18,-1.18,0.48,0.7,-3.0625,2.45,0.8055556,-3.958333,-1.541667,-1.403846,-2.185897,1.730769,0.4821429,-3.089286,-2.232143,0.8363636,-1.245455,2.854545,3.309524,0.5079365,2.642857,-2.2,-0.6166667,3.933333,-1.471154,-4.278846,-1.009615,3.513889,-1.444444,-0.6527778,2.35,0.9071429,2.628571,0
0.5757576,-3.848485,0.8181818,0.5,-2.707143,-0.9428571,2.298077,-2.096154,-0.04807692,-0.3727811,0.7810651,-0.5680473,1.083333,-1.375,-4,2.364583,-1.260417,3.28125,8.460317,-1.698413,-3.52381,1.647727,-2.375,0.02272727,3.9,-1.966667,0.2222222,2.876543,-1.45679,0.07407407,-0.8645833,-3.177083,-0.15625,-1.907407,-2.567901,0.9012346,-2.392857,0.6071429,1.892857,1.104396,-0.5879121,-2.335165,6.428571,-5.714286,4.553571,7.532468,4.493506,5.311688,1.066667,1.2,7.066667,0.6507937,-1.825397,-2.666667,0.7142857,-5.339286,-3.267857,0.8645833,-1.59375,-0.8541667,0
5.050926,5.375,2.916667,9.071429,8.833333,8.333333,7.167832,7.41958,2.664336,6.554545,8.090909,6.627273,3.45,7.716667,3.183333,10.17857,9.5,8.285714,3.851852,6.617284,-0.7530864,3.258333,2.95,2.591667,-2.75,1.033333,-1.683333,6.9,4.066667,3.272222,2.875,1.4,0.5,2.777778,3.574074,4.018519,6.444444,-0.8376068,-2.136752,2.020408,4.163265,3.714286,2.25,4.25,1.16,3.974359,2.846154,-1.410256,4.177778,7.044444,1.488889,4.414815,5.148148,2.488889,1.851852,0.5,-0.8518519,2.555556,2.541667,2.652778,0
8.473684,3.995614,4.267544,9.247222,9.027778,8.461111,2.923077,8.132867,3.027972,8.057692,7.846154,6.942308,5.852273,7.204545,5.465909,5.173611,8.152778,5.604167,5.0625,8.0625,6.333333,4.818182,4.721212,4.278788,-0.9679487,0.2884615,2.833333,7.40404,5.707071,3.050505,1.469231,3.1,0.4153846,2.440476,3.22619,2.857143,1.520833,1.3125,-3.395833,1.242857,3.428571,3.685714,0.6375,3.15,4.4875,-1.874126,0.4195804,-2.587413,6.681818,6.409091,3.922078,6.316667,4.25,3.9,2.365079,2.142857,-0.0952381,4.806061,7.224242,6.8,0
3.432692,2.548077,2.019231,9.215385,7.330769,6.176923,1.285714,4.440476,2.702381,5.17094,7.641026,5.145299,0.8166667,1.033333,-3.516667,6.364198,7.160494,6.351852,5.819444,7.763889,-2.402778,1.533613,6.273109,3.432773,3.428571,3.440476,-1.666667,3.227273,6.166667,2.242424,-0.6666667,-0.6770833,-0.1666667,1.257576,5.681818,5.530303,1.169118,0.9632353,-2.522059,-1.05,3.675,-0.8916667,0.8809524,3.238095,0.07142857,-2.123077,-2.207692,-1.7,3.233333,7.072222,4.572222,4.322222,7.655556,5.766667,5.915441,2.441176,-1.091912,4.801282,7.628205,7.403846,0
9.589744,3.435897,4.164103,11.08182,8.909091,9.545455,10.04,7.12,9.9,3.907692,6.538462,6.869231,3.467949,6.852564,4.423077,10.53896,9.746753,9.077922,0.3015873,4.634921,6.285714,9.428571,6.602041,6.030612,7.018182,6.227273,4.381818,7.789216,6.696078,4.387255,6.412587,2.552448,0.5944056,6.982906,4.384615,2.153846,6.916667,3.011905,0.6785714,3.740741,3.416667,-0.1666667,3.809524,2.333333,1.714286,3.168831,3.818182,2.272727,6.777778,10.95556,7.366667,9.274725,6.104396,3.813187,6.994048,5.660714,5.375,8.458333,8.541667,8.444444,0
